id,pic_id,age,male,college,orientation,friend_request,char_positivity,char_outgoing,char_open,char_friendly,char_discipline,char_social,char_economic,rating,face,nose,eyes,mouth,overall_feature,skin,hair,color,acne,glasses,double_eyelid,thick_eyebrow,thick_lip,face_shape,long_hair
243,11,20,0,6,1,3,4,4,3,4,3,3,3,5,3,3,4,3,3,4,2,healthy,0,0,1,0,1,round,1
243,12,20,0,6,1,3,4,4,3,2,4,3,3,7,4,4,4,4,4,4,4,fair,0,0,1,0,0,long,0
244,1,21,0,7,3,3,3,2,3,4,3,3,2,7,4,2,4,3,4,3,3,black,0,0,1,0,0,long,1
244,2,21,0,7,3,2,4,4,3,4,3,3,3,5,3,2,2,3,3,3,3,healthy,0,1,0,1,0,square,0
244,3,21,0,7,3,2,4,4,4,3,3,4,3,6,3,4,3,2,3,3,3,healthy,0,0,0,0,0,square,0
244,4,21,0,7,3,3,4,4,3,4,3,3,3,7,4,3,4,4,4,4,4,fair,0,1,1,0,0,long,0
244,5,21,0,7,3,2,3,2,3,2,3,3,3,6,4,3,3,2,3,3,3,fair,0,0,1,0,0,round,1
244,6,21,0,7,3,2,3,2,3,2,3,2,3,5,4,4,2,3,3,3,3,healthy,0,0,0,0,0,long,1
245,7,22,1,4,1,1,2,2,2,1,1,2,2,3,2,3,1,1,2,2,3,healthy,1,1,1,1,1,square,0
245,8,22,1,4,1,3,4,5,5,4,3,3,3,7,4,2,4,4,4,4,3,healthy,0,0,1,0,0,square,0
245,9,22,1,4,1,1,4,4,4,3,2,2,3,5,3,3,4,1,2,3,4,black,1,0,0,1,1,square,1
245,10,22,1,4,1,3,5,5,5,4,3,3,3,7,5,4,4,5,4,5,4,fair,0,0,1,0,0,round,1
245,11,22,1,4,1,2,5,5,5,5,3,3,3,5,4,2,4,1,3,4,4,healthy,0,0,1,0,1,round,1
245,12,22,1,4,1,3,5,5,5,3,4,3,3,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,long,0
246,7,21,0,9,3,3,3,2,2,2,3,3,3,6,3,2,2,2,3,3,2,healthy,1,1,1,1,1,square,0
246,8,21,0,9,3,3,4,4,4,4,3,3,3,8,3,4,4,4,4,4,4,healthy,0,0,1,0,0,square,0
246,9,21,0,9,3,3,3,2,3,2,2,3,3,6,4,3,2,3,3,4,2,black,1,0,0,1,1,square,1
246,10,21,0,9,3,4,4,4,4,4,3,3,4,9,4,4,3,3,4,4,4,fair,0,0,1,0,0,round,1
246,11,21,0,9,3,4,4,4,4,4,3,3,3,7,4,4,3,3,4,4,4,healthy,0,0,1,0,1,round,1
246,12,21,0,9,3,3,4,3,3,2,3,4,4,7,4,4,3,4,4,4,4,fair,0,0,1,0,0,long,0
247,1,22,1,A,1,2,4,2,4,3,3,3,3,7,4,4,4,4,4,3,3,black,0,0,1,0,0,long,1
247,2,22,1,A,1,2,4,3,4,2,4,4,4,7,4,3,3,4,4,4,3,healthy,0,1,0,1,0,square,0
247,3,22,1,A,1,2,4,2,3,2,5,5,5,7,4,3,4,4,4,4,4,healthy,0,0,0,0,0,square,0
247,4,22,1,A,1,2,4,4,4,3,4,3,3,7,4,3,4,3,4,4,4,fair,0,1,1,0,0,long,0
